Category Name,letter,image name1,image 2,image 3,image 4,note
Dispute Credit Report Items (Round 1 Altemate 2),"{client_first_name} {client_last_name}	
{client_address)	
{t_no}	
{bdate)	
{ss_number}	
{bureau_address)	
{curr_date)	
To Whom It May Concern,	
This letter is a formal complaint that you are reporting inaccurate and incomplete credit information on my	
Credit Report.	
I understand that mistakes happen but your inaccurate information could cost me in higher interest rates	
and I have enough expenses as it is. Please investigate the following information and either remove it or at	
least send me the information that you used to add it to my report.	
Thank You	
Sincerely yours,	
{client_signature)	
{client_first_name} {client_last_name}	",https://prnt.sc/24kqmnl,,,,
Dispute Credit Report Items (Round 1 Altemate 3),"{client first_name) {client_last_name}	
{client:address)	
{t_no)	
{bdate)	
{ss_number}	
{bureau_address)	
{curr_date)	
To Whom It May Concern,	
This letter is a formal complaint that you are reporting inaccurate and incomplete credit information I am	
distressed that you have included the information below in my credit profile and that you have failed to	
maintain reasonable procedures in your operations to assure maximum accuracy in the credit	
reports you publish, Credit reporting laws ensure that bureaus report only 100% accurate credit	
information Every step must be taken to assure the information reported is completely accurate and	
correct The following information therefore needs to be re-investigated	
{dispute_item_and_explanation)	
I request to be provided proof of this alleged item, specifically the contract, note or other	
instrument bearing my signature.	
Failing that. the item must be deleted from the report as s.nn as possible. This information is entirely	
inaccurate and incomplete, and as such represents a very serious error in your reporting. Please delete	
this misleading information and supply a corrected credit profile to all creditors who have received a copy	
within the last six months. or the last two years for employment purposes.	
Additionally. please provide the name, address. and telephone number of each credit grantor or other	
subscriber.	
Under federal law, you have thirty (30) days to complete your re-investigation. Be advised that the	
description of the procedure used to determine the accuracy and completeness of the information is	
hereby requested as well, to be provided within fifteen (15) days of the completion of your re-investigation.	
Sincerely yours,	
{client_signature}	
{client_first_name} {client_last_name)	",https://prnt.sc/24kqn7o , https://prnt.sc/24kqnfy,,,
Dispute Credit Report Items (Round 1 Altemate),"{client_first_name} {client_last_name)	
{client:address}	
{client_previous_address}	
{t_no}	
{bdate}
{ss_number}	
{bureau_address)	
{curr_date}	
Re: Letter to Remove Inaccurate Credit Information	
To Whom It May Concern:	
I received a copy of my credit report and found the following item(s) to be errors. See the attached copy of	
my credit report: the errors have been highlighted. Here as follows are items in error:	
{dispute_item_and_explanation}	
By the provisions of the Fair Credit Reporting Act, I demand that these items be investigated and removed	
from my report. It is my understanding that you will recheck these items with the creditor who has PH)Sted	
them. Please remove any information that the creditor cannot verify I understand that under 15 U.S.C.	
Sec_ 1681i(a), you must complete this reinvestigation within 30 days of receipt of this letter.	
Sincerely yours,	
{client_signature)	
{client_first_name} {client_last_name)	",https://prnt.sc/24kqnm3,,,,
Dispute Follow-up after no response for 30 days,"{client_first_name} {client_last_name)		
{cient_address}	
{t_no}	
{bdate}	
{Ss-numen}
{bureau_address}	
{curr_date}	
To 'Whom It May Concern.	
This letter is a formal complaint that you are reporting inaccurate and incomplete credit information.	
I am distressed  that you have included the information belm•v in my credit profile and that you have failed	
to maintain reasonable procedures in your operations to assure maximum possible accuracy in the credit	
reports you publish. Credit reporting laws ensure that bureaus report only 100% accurate credit	
information. Every step must be taken to assure the information reported is completely accurate and	
correct The following information therefore needs to be re-investigated_ I res*tfulty request to be	
provided proof Of this alleged item, specifically the contract note Or Other instrument being my signature.	
{dispute_item_and_explanation}
Failing that the item must be deleted from the report as soon as possible. The listed item is entirely	
inaccurate and incomplete, and as such represents a very serious error in your reporting. Please delete	
his misleading information and supply a corrected credit profile to all creditors who have received a copy	
within the last six months, or the last years for employment purposes.	
Additionally, please provide the name, address, and telephone number of each credit grantor or other	
subscrær	
Under federal law, you have thirty (30) days to complete your re-investigation. Be advised that the	
description of the procedure used to determine the accuracy and completeness of the information is	
hereby requested as well, to be provided within fifteen (15) days of the completion of your re-investigation.	
Sincerely yours,	
{client_signature}	
{client_first_name} {client_last_name}	",https://prnt.sc/24kszow   ,https://prnt.sc/24ktwpm,,,
Dispute Follow-up after no remnse for 60 days,"{client_first_name} {client_last_name)	
{client_address}	
{t_no}	
{bdate}	
{ss_number}	
{bureau_address}	
{curr_date}	
To 'v'.mom It May Concem,	
This letter is formal notice that you have failed to respond in a timely manner to my dispute letter of insert	
date, deposited by registered mail with the US. Postal Sen.'ice on that date. Federal law requires you to	
respond within thirty (30) days. yet you have failed to respond Failure to comply with these federal	
regulations by credit reporting agencies are investigated oy the Federal Trade Commission (FTC) (se 15	
USC 41, et seq)
I am maintaining a careful record of my communications with you for the purpose of filing a complaint with	
the FTC Should you continue in your non-compliance. I further remind you that, as in Wenger v Trans	
Ur-non Wp., No. 95-6445 (C.D.Cal. Nov. 14, 1995), you may liable for your willful non-compliance.	
Be aware that I am making a final attempt to have you clear up this matter. You have 15 days to	
cure.	
For your benefit. and as a gesture of my I WII restate my dispute. The following information	
needs to be verified and, following failure to verify, deleted from the report as soon as possible	
{dispute_item_and_explanation}	
The listed item is entirely inaccurate and incomplete. and represents a very serious error in your routing.	
Please delete this misleading Information and supply a corrected credit profile to all creditors *'ho have	
received a copy within the last six months, or the last two years for employment purposes.	
Additionally. please provide the name, address, and telephone nun-er of each credit grantor or other subscriber	
Under federal law, you had thirty (30) days to complete your re-investigation, yet you have failed to	
repond_ DO not delay any further	
be advised that the description Of the procedure used to determine my accuracy and completeness Of me	
information is hereby requested as well, to be provided with""' fifteen (15) days of the completion of your	
re-investigaüon.	
Sincerely yours,	
{client_signature)	
{client_first_name} {client_last_name)	",https://prnt.sc/24kuc1k   ,https://prnt.sc/24kuymj,,,
Frivolous Dispute Response,"{client_first_name} {client_last_name)	
{client_address}	
{t_no}	
{bdate}	
{ss_number}	
{bureau_address}	
{curr_date}	
To Whom It May Concem,	
I received a letter from your firm stating that my letter requesting verification Of erroneous items on my	
report as being classified as 'frivolous"" or Trelevant'. I assure you that in no way do I consider a matter of	
such importance to me as frivolous nor irrelevant Intact if you do not honor my original request to verify	
the items contained in my previous letter, mailed (DATE SENT) via ærtified mail, I will file a complaint with	
the Federal Trade Commission against your company.	
I have included my original disputes for your convenience below,r	
The following information, therefore, needs to be reinvestigated. I respectfully request to be provided proof	
of this alleged item, specifically the contract note or other instrument bearing my signature. Failing that,	
the items must deleted from the report as soon as possible:	
The listed item is completely inaccurate and incomplete, and is a very serious error in reporting, Please	
delete this misleading information, and supply a corrected credit profile to all creditors who have received	
a copy within the last 6 months, or the last 2 years for employment purposes.	
Additionally, provide the name, address, and telephone Of each credit grantor or Other	
subscriber.	
Under federal law. you have 30 days to complete your reinvestigation. Be advised that the description Of	
the procedure used to determine the accuracy and completeness of the information is hereby requested	
as well. Please provide this information within 15 days of the complebon of your reinvestigation.	
Sincerely yours,	
{client_signature}	
{client_first_name} {client_last_name)",https://prnt.sc/24kvsl7   ,https://prnt.sc/24kwcqi,,,
Frivolous Dispute Response (Alternate),"{client_first_name} {client_last_name)	
{client_address}	
{t_no}	
{bdate}	
{ss_number}	
{bureau_address}	
{curr_date}	

To Whom It May Concern,	
This letter is a formal complaint that you are reporting inaccurate and incomplete credit information. I am	
distressed that you have included the below information in my credit profile and have failed to maintain	
reasonable procedures in your operations to assure maximum possible accuracy in the credit reports you	
publish.	
Credit reporting laws ensure that bureaus report only 100% accurate credit information. Every step must	
be taken to assure the information reported is completely accurate and correct	
The following information, therefore, needs to be reinvestigated. I respectfully request to be provided proof	
of this alleged item. specifically the contract, note, or other instrument bearing my signature. Failing that,	
the items must be deleted from the report as soon as possible-	
{dispute_item _and_explanation)	
The listed item is completely inaccurate and Élcomplete. and is a very serious error in reporting. Please	
delete this misleading information, and supply a corrected credit profile to all creditors who have received a	
copy within the last 6 months, or the last 2 years for employment purposes.	
Additionally. please provide the name. address. and telephone  number Of each credit grantor or Other	subscriber
Under federal law. you have 30 days to complete your reinvestigation. Be advised that the description of	
the procedure used to determine the accuracy and completeness of the information is hereby requested as	
well. Please provide this information within 15 days of the completion of your reinvestigation,	
Sincerely yours,	
{cEent_signature)	
{cEent_first_name) {client_last_name)	",https://prnt.sc/24kwx84 ,https://prnt.sc/24kxpl0,,,
Insufficient ID Response,"{client first name) {client_last_name)	
{client addrws)	
{bdate)	
{ss_number}	
{bureau_address)	
{curr_date)	
To Whom It May Concem,	
I mailed you a letter disputing inaccurate information on my credit report over a month ago and in response	
I received a letter from your firm stating the ID I submitted was insufficient to verify my address and identity.	
The identification I submitted is sufficient according to your guidelines and I demand that you examine the	
enclosed documents more carefully this time. I have also included my original letter for your convenience	
in this envelope.	
The disputed  items must be investigated.	
{dispute_item_and_explanation}	
I respectfully request you to process the investigation as prescribed by my rights under the FCRA Under	
federal law, you have 30 days to complete your reinvestigation. Be advised that the description of the	
procedure used to determine the accuracy and completeness Of the information is hereby requested  as	
we"". Please provide this information within 15 days of the completion of your reinvestigation	
Sincerely yours,	
{client_signature)	
{client_first_name} {client_last_name)	",https://prnt.sc/24ky4xz,,,,
Intent To File Lawsuit for FCRA Violation,"{client_first_name} {client_last_name)	
{client_address)	
{client_previous_address)
#SS {ss_number}	
{bureau_name)	
{bureau address}	
{creditor¯ city) (creditor_state)	{creditor_zip)
{curr_date}	
Re: Intent TO File Lawuit for FCRA Violation	
To Whom It May Concern,	
It is a crime to threaten a lawsuit with no intention of doing so. therefore you can take heed that I am very	
serious about filing suit against your company I have sent (NUMBER OF LETTERS) previous letters to	
you all by certified maa (receipts enclosed) requesting that you remove inaccurate information from my file	
and you have failed to do so.	
According. I can show a judge that these accounts are inaccurate and that you violated the Fair Credit	
Reporting Act by ignoring my requests to investigate the items. My previous letters (all sent by certified	
mail) stated my reasons for an investigation and these reasons were not frivolous in any way,	
If this final request does not prompt you to conduct a proper investigation of these accounts in question,	
and send proof to me of said mitigation, I will be an Evil sun in my county for damages and you can	
travel to defend yourself	
I take my credit very seriously and your lack of professionalism and assistance disappoints me I am well	
aware of my rights under the Fair Credit Reporting Act and I intend to pursue them to the maximum.	
I await your response.	
Sincerely,	
{client_signature)	
{client_first_name} {client_last_name)	
cc: Federal Trade Commission: Attorney General	",https://prnt.sc/24kyurm,https://prnt.sc/259pw8v,,,
Intention to File FTC Complaint - After 30 Days,"{client_first_name} {client_last_name}

{client_address}

{t_no}

{bdate}

{ss_number}

{bureau_address}

{curr_date}

To Whom It May Concern,

This letter shall serve as formal notice of my intent to file a complaint with the FTC, due to your blatant and
objectionable disregard of the law.

As indicated by the attached copies of letters and mailing receipts, you have received and accepted
through registered mail my dispute letter dated , as well as my follow-up letter dated . To date you have not
done your duty as mandated by law. Your non-compliance with federal law is unacceptable, your disregard
for it contemptible. Rest assured | shall hold you accountable.

Federal law requires you to respond within 30 days, yet you have failed to respond. Failure to comply with
these federal regulations by credit reporting agencies are investigated by the Federal Trade Commission
(see 15 USC 41, et seq))

| am maintaining a careful record of my communications with you on this matter; for the purpose of filing a
complaint with the FTC should you continue in your non-compliance. | further remind you that, as in
Wenger v. Trans Union Corp., No. 95-6445 (C.D.Cal. Nov. 14, 1995), you may be liable for your willful
noncompliance

For the record, the following information is being erroneously included on my credit report, as | have
advised you on two separate occasions, more than 75 days and again 40 days ago:
{dispute_item_and_explanation}

If you do not immediately remove this inaccurate and incomplete information, | will file a formal complaint
with the Federal Trade Commission.

Should you continue to operate with complete disregard for the law, | intend to seek redress in civil action
for recovery of damages, costs, and attorney fees. For this purpose | am carefully documenting these
events, including the lack of response REQUIRED under law from you.

Additionally, please provide the name, address, and telephone number of each credit grantor or other
subscriber.

Under federal law, you had 30 days to complete your re-investigation, yet you have failed to respond.
Further delays are inexcusable.

Be advised that the description of the procedure used to determine the accuracy and. completeness of the
information is hereby requested as well, to be provided within 15 days of the completion of your re-
investigation

Sincerely,

{client_signature}

{client_first_name]} {client_last_name}
",https://prnt.sc/24l0394  ,https://prnt.sc/24l0rds,,,
Intention to File FTC Complaint - After 30 Days (Alternate),"{client first_name} {client_last_name}

{client_address}

{tno}

{bdate}

{ss_number}

{bureau_address)

{cur_date}

To Whom It May Concern

This letter is formal notice that you have failed to respond in a timely manner to my dispute letter of
deposited by registered mail with the U_S. Postal Service on that date

Federal law requires you to respond within thirty (30) days, yet you have failed to respond. Failure to
‘comply with these federal regulations by credit reporting agencies are investigated by the Federal Trade.
Commission (see 15 USC 41, et seq.) | am maintaining a careful record of my communications with you
for the purpose of ilng a complaint with the FTC should you continue in your non-compliance. | further
remind you that, as in Wenger v. Trans Union Corp., No. 95-6445 (C.D.cal. Nov. 14, 1395), you may be
liable for your willul non-compliance.

Be aware that | am making a final goodwil attempt to have you clear up this matter. You have 15 days to
cure

For your benefit, and as a gesture of my goodwil, | il restate my dispute. The following information needs
to be verified and, following failure to veriy, deleted from the report as soon as possible:
{dispute_item_and_explanation]

The listed item is entirely inaccurate and incomplete, and represents a very serious error in your reporting
Please delete this misleading information and supply a corrected credit profil to all creditors who have
received a copy within the last six months, or the last two years for employment purposes
Additionally, please provide the name, address, and telephone number of each credit grantor or other
subscriber.

Under federal law you had thirty (30) days to complete your re-investigation, yet you have failed to
respond. Do not delay any further

Be advised that the description of the procedure used to determine the accuracy and completeness of the
information is hereby requested as well, to be provided within fifteen (15).

Sincerely yours

{client_signature}

{client_first_name] {client_last_name]
",https://prnt.sc/24l2aag , https://prnt.sc/24l2f77,,,
Intention to File FTC Complaint - After 60 Day,"{client first_name} {client_last_name}

{client_address}

{bureau_address)

{cur_date}

To Whom It May Concern

This letter shall serve as formal Notice of my Intent to file a Complaint with the FTC, due to your blatant
disregard of the law.

As indicated by the attached copies of letters and mailing receipts, you have been delivered by registered
mail both a dispute letter, dated 2/1011999. as well as a follow-up letter, dated 3/20/1999. As of this
moment, you have not done your duty mandated under the law. Your inaction in this matter is inexcusable,
and your disregard for the law is contemptible. Rest assured. | will hold you to account

As you are well aware, federal law requires you to respond within 30 days, yet you have failed to respond
Failure to comply vith these federal regulations by credit reporting agencies are investigated by the
Federal Trade Commission (see 15 USC 41, et seq.). | am maintaining a careful record of my
‘communications with you on this matter, for the purpose of fiing a complaint vith the FTC should you
continue in your non-compliance. | further remind you that, as in Wenger v. Trans Union Corp.. No. 95-
6445 (C.D.Cal. Nov. 14, 1995), you may be liable for your willul non-compliance

For the record, the following information is being erroneously included on my credit report, as | have
advised you on two separate occasions, more than 75 days and again 40 days ago:
{dispute_item_and_explanation]

If you do not immediately remove this inaccurate and incomplete information, | il fle a formal complaint
with the FTC. Furthermore, | intend to seek redress in civil action, for recover of damages, costs, and
attorey's fees, should you continue in your deliberate obstruction of the law. For this purpose, | am
carefully documenting these events, including the lack of response REQUIRED under law from you
Additionally, please provids the name, address, and telephone number of each credit grantor or other 
subscriber. ;
Under federal aw you had 30 days to complete your re-investigation, yet you have failed to respond. Your
continued delays are inexcusable. 3
Be advised that the description of the procedure used to dtermine the accuracy and completeness of the
information is hereby requested as well, to be provided within 15 days of the completion of your re investgation.

yours Sincerely , 
{client_signature} 
",https://prnt.sc/24l3206    ,https://prnt.sc/24l35te,,,
Method of Verification (MOD),"{client_first_name} {client_last_name}
{client_address}
{bdate}
{ss_number}

{bureau_address}
Attn: Customer Relations Department

{curr_date}

Re: Request to describe method of verification

To Whom It May Concern:

I am writing to request the method of verification for dispute initiated on [ENTER DATE HERE] and the subsequent response received on [ENTER CORRECT DATE HERE] enclosed with this letter.

Re: {dispute_item_and_explanation}  [Manually modify this line when you're in the final step of the dispute wizard (editor page)]

Please send the following information used to verify the validity of [Manually type in the items you're wanting them to describe, i.e.; identify item(s) by the name of the source, such as creditor or tax court, and the type of item, such as credit account, judgment, etc.]:

The name of the original creditor
The creditors address and telephone number
The person’s name they verified the dispute with
The documentation used to verify the dispute
In accordance with FCRA, Section 611, I am requesting this information to review for completeness and accuracy and appropriateness. In lieu of sending the information you can reopen the dispute and ensure a proper investigation is performed.

I would appreciate a timely response outlining the steps that will occur to resolve this matter. If I do not receive a response I will have no choice but to exercise my right under FRCA, Section 616, and pursue legal action.

Sincerely,
{client_signature}",https://prnt.sc/24mqo6s,,,,
Method of Verification (MOD) Alternate ,"{bureau_address}

Attn: Customer Relations Department

{curr_date}

[TodaysDate]

[RecipientName]

Re: {dispute_item_and_explanation}  [Manually modify this line when you're in the final step of the dispute wizard (editor page)]

To Whom It May Concern:

I am concerned about the validity and accuracy of your recent investigation of these accounts that are reporting on my credit report. Last month I requested an investigation because I felt the item was not being reported legally. Couple of days ago I received a letter stating that your investigation was complete. Please explain to me how you conducted your investigation!

     1.Please explain to me what your representatives uncovered to lead them to believe that you are reporting this item as it
        legally should be reported?
     2.What certified documents were reviewed to conclude your investigation?
     3.Please provide a complete copy of all of the information that was transmitted to the data furnisher as part of the investigation.
     4.What did it cost your company to obtain the documents needed to complete your investigation? 
     5.Please provide proof of your timely procurement of certified documents.
     6.Did you speak directly to any agent of the company that was reporting the information to confirm the accuracy of what you are reporting?
     7.If yes to above:
          a.Who did you speak to? 
          b.On what date?
          c.How long was the conversation?
          d.What was their position?
          e.What telephone number did you call?
          f. What is the name of the employee of your company that spoke directly to the above party?
          g.What is the position of the employee of your company that spoke directly to the above party?
          h.How long has that employee been employed by your company?
          i.What formal training was provided to this employee to investigate items of this kind?
          j.Was there any e-mail or written communication between members of your company and the above party?
      8.If so, please provide copies of all correspondence; supply copies of any and all conclusive documentation to prove that
         you have in fact conducted a reasonable investigation of the account in question.
      9.Provide the date of the commencement of delinquency
     10.Provide the SPECIFIC date reporting that these items will cease

Enclosed with your response to the above questions I respectfully request a notarized affidavit confirming the information that is provided is true and correct as per my civil rights granted under several federal laws. This information should not come as a form letter response.

My initial dispute was detailed and directly related to the account in question. A template response will not be an acceptable response. If you cannot supply ALL of the above information in a timely manner as detailed in several laws, including but not limited to the Fair Credit Reporting Act, I must immediately demand the permanent removal of this item from my credit report.

This erroneous entry is detrimental to my overall credit rating and has caused me severe financial and emotional distress. If you choose not to provide the above requested deletion or requested/required documentation of your investigation, I will pursue the enforcements of 
my constitutional rights via federal court proceedings. As you are well aware this information will come out through my formal discovery process, and necessary depositions. I have recently studied constitutional consumer protection laws along with civil/federal court procedures. I will represent myself pro-se and will formally request a jury trial.

Please respond accordingly,
{client_signature}

{client_first_name} {client_last_name}
{client_address}
{bdate}
{ss_number}",https://prnt.sc/24mqyv2   ,https://prnt.sc/24mr1oo,,,
